Bus No,Via
19B,"ramanathapuram,singanallur,ondipudur,sulur,rvs,sulur aero"
19C,"lakshmi mills,hopes,singanallur,ondipudur,sulur,rvs,sulur aero"
19D,"lakshmi mills,hopes,singanallur,ondipudur,sulur,kalangal"
19E,"ramanathapuram,singanallur,ondipudur,sulur,kalangal"
19F,"lakshmi mills,singanallur,ondipudur,ravathur"
19G,"pothanur,ukkadam,poomarket,kavundampalayam,idayarpalayam"
19J,"lakshmi mills,hopes,singanallur,ondipudur,sulur,rvs,sulur aero,sengadhurai"
20,"sitra,hopes,lakshmi mills,gandhipuram,saibaba colony,idayarpalayam"
20A,"lakshmi mills,sitra,kmch,neelambur,kaniyur,karumathampatti"
20B,"singanallur,hopes,peelamedu,lakshmi mills,gandhipuram"
20C,"singanallur,hopes,peelamedu,gandhipuram,kavundampalayam"
20D,"lakshmi mills,sitra,kmch,chinniampalayam,thennampalayam"
21,"townhall,gandhipark,vedapatti,thondamuthur"
21A,"railway station,townhall,gandhipark,vedapatti,thondamuthur,dhevarayapuram"
21B,"railway station,townhall,gandhipark,vedapatti,thondamuthur"
21B,"gandhipark,veerakeralam,vedapatti,thondamuthur"
21C,"railway station,townhall,gandhipark,vedapatti,thondamuthur"
21D,"ganapathy,railway station,ukkadam,kuniamuthur"
21E,"gandhipuram,ukkadam,kuniamuthur"
22,"puliakulam,gh,poomarket,r.s.puram,seeranaicken palayam"
22A,"kmch,sitra,hopes,peelamedu,gandhipuram,saibaba colony"
23A,"sowripalayam,puliakulam,townhall,ukkadam,aathupalam,sundarapuram"
24,"railway station,gandhipuram,ganapathy,saravanampatti"
24A,"railway station,gandhipuram,ganapathy,saravanampatti,kalapatti"
25,"mathampatti,perur,selvapuram,townhall,poomarket,velandipalayam"
25,"selvapuram,chetti veethi,townhall,railway station,gandhipuram"
27,"kavundampalayam,thudiyalur,p.n.palayam,jothipuram"
27A,"gandhipuram,new bus stand,kavundampalayam,thudiyalur,athipalayam"
27B,"gandhipuram,kavundampalayam,thudiyalur,p.n.palayam,jothipuram"
27C,"kavundampalayam,thudiyalur,p.n.palayam,jothipuram,press colony"
30,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu"
30B,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,sulur"
30C,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,sulur"
30D,"lakshmi mills,singanallur,ondipudur,sulur,mathapur"
30E,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,sulur"
30F,"ramanathapuram,singanallur,ondipudur,sulur,aero,kamampettai"
30G,"ramanathapuram,singanallur,ondipudur,sulur,aero,sengathurai"
30H,"ramanathapuram,singanallur,ondipudur,sulur,mathapur"
30J,"ramanathapuram,singanallur,ondipudur,pappampatti pirivu,sulur,rvs"
30K,"singanallur,ondipudur,sulur,rvs,aero,kamampettai,ichipatti"
31,"sitra,hopes,peelamedu,railway station,ukkadam,sundarapuram"
31A,"ramanathapuram,sungam,townhall,ukkadam,sundarapuram"
31D,"sitra,hopes,peelamedu,railway station,ukkadam,sundarapuram,madukarai market"
32,"kavundampalayam,thudiyalur,p.n.palayam"
32A,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32B,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32C,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32D,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32F,"new bus stand,kavundampalayam,thudiyalur,p.n.palayam"
32G,"kavundampalayam,thudiyalur,p.n.palayam,veerapandi"
32H,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32K,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32M,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32N,"poomarket,kavundampalayam,thudiyalur,p.n.palayam"
32R,"new bus stand,kavundampalayam,thudiyalur,p.n.palayam"
33,"ukkadam,sundarapuram,malumichampatti,othakal mandapam"
33A,"ukkadam,sundarapuram,malumichampatti,othakal mandapam"
33B,"ukkadam,sundarapuram,malumichampatti,othakal mandapam"
33C,"ukkadam,sundarapuram,malumichampatti,othakal mandapam,kinathu kadavu"
